X,Y
0.0,0.95392181
0.0,-0.525753677
0.0,2.6502238
0.0,0.9061588199999999
0.344827586,2.32991624
0.344827586,-0.36272898600000003
0.344827586,1.50033094
0.68965517,-0.671649427
0.68965517,1.8256286099999999
0.68965517,0.81265798
0.68965517,0.11141123000000008
1.03448276,0.21451598000000005
1.379310345,-0.750419697
1.379310345,-1.541947773
1.379310345,-0.376333826
1.72413793,0.0093570300000001
2.068965515,-0.573224554
2.068965515,0.11636394000000005
2.068965515,0.13611817999999998
2.068965515,-0.789638419
2.413793105,-0.07335566800000004
2.75862069,-0.49062470599999997
2.75862069,-2.44774005
2.75862069,-0.895963915
3.103448275,-0.46311186699999995
3.103448275,-3.47530175
3.103448275,-1.219463939
3.44827586,-0.319762518
3.44827586,-2.9849803699999997
3.79310345,-2.42856744
4.137931035,-1.699516001
4.137931035,-2.21267107
4.48275862,-1.571283719
4.48275862,-0.124281788
4.827586205,-3.8553101
4.827586205,-0.6822855640000001
4.827586205,-2.15961992
5.1724138,-2.0392886
5.1724138,-1.8571304020000001
5.5172414,0.7315289199999999
5.5172414,-2.24471102
5.5172414,-1.822300502
5.86206895,-1.783591927
6.20689655,-2.34048656
6.20689655,-1.588263831
6.20689655,-1.380154161
6.20689655,-2.14633954
6.55172415,-2.43259736
6.55172415,-1.396661616
6.8965517,-0.69974147
6.8965517,-2.4436111
7.2413793,-0.6049598380000001
7.2413793,-0.644436781
7.2413793,-2.61561416
7.5862069,0.33434235
7.5862069,-1.327082246
7.5862069,-0.9318401913
7.9310345,-1.4921647710000001
8.27586205,0.30549406999999995
8.27586205,-0.7443258850000001
8.27586205,-0.19252722300000003
8.62068965,0.27494375000000004
8.96551725,-0.28311770999999997
8.96551725,1.2063875999999998
9.31034485,1.5201147000000002
9.31034485,0.3272714299999999
9.31034485,-0.182837048
9.6551724,0.39471133999999997
9.6551724,0.5201696
10.0,1.13254132
