X,Y
0.0,-0.95912219
0.0,0.65451179
0.0,-0.12632088
0.0,-0.28861378
0.344827585,0.15457479
0.68965517,1.93816067
0.68965517,1.45007701
0.68965517,2.60631825
0.68965517,1.00654089
1.03448276,-0.74016926
1.03448276,-1.02869447
1.03448276,0.20081363
1.379310345,-0.97385494
1.379310345,-1.3894235
1.379310345,1.02731468
1.72413793,0.80438913
2.068965515,0.86964533
2.068965515,-1.05747715
2.068965515,0.24166205
2.413793105,-0.77521353
2.75862069,1.11459522
2.75862069,-0.52990118
2.75862069,0.24438836
2.75862069,-1.04000569
3.103448275,-0.19926458
3.103448275,-0.58481219
3.103448275,0.39832319
3.44827586,-1.53147504
3.44827586,-1.29894312
3.44827586,1.50424937
3.44827586,0.58176383
3.79310345,0.57103887
4.137931035,1.69088941
4.137931035,0.13553558
4.137931035,-2.65623599
4.137931035,0.18944574
4.48275862,0.32200565
4.48275862,-0.08869153
4.827586205,1.06452726
4.827586205,0.03231279
4.827586205,-0.1174159
5.172413795,2.637341
5.172413795,0.0878111
5.172413795,0.35305642
5.51724138,-0.41308882
5.51724138,-0.31620652
5.51724138,-0.48778597
5.51724138,1.78294042
5.862068965,-0.36126562
5.862068965,0.25292082
5.862068965,0.67216191
6.20689655,0.938199
6.20689655,-0.65169654
6.20689655,1.54899328
6.20689655,0.30977048
6.55172414,-0.73159626
6.896551725,0.02418349
6.896551725,-0.70414847
6.896551725,0.199655
6.896551725,0.49313823
7.24137931,1.36512589
7.24137931,0.83292875
7.586206895,0.11729687
7.586206895,-0.13100086
7.931034485,-0.25066777
8.27586207,0.67946466
8.27586207,-0.94180836
8.27586207,0.71493368
8.620689655,-0.56813196
8.620689655,0.84729589
8.620689655,-0.21090182
8.96551724,-0.91224238
8.96551724,-1.1913207
9.31034483,2.39937168
9.655172415,0.33666242
9.655172415,-0.96012989
9.655172415,0.16224254
10.0,-0.20444358
