X,Y
165.0,49.04087781
165.0,50.65451179
165.0,49.87367912
165.0,49.71138622
165.344827585,50.6718161675
165.68965517,52.972643425
165.68965517,52.484559765
165.68965517,53.640801005
165.68965517,52.041023645
166.03448276,50.81155488
166.03448276,50.52302967
166.03448276,51.75253777
166.379310345,51.0951105775
166.379310345,50.6795420175
166.379310345,53.0962801975
166.72413793,53.390596025
167.068965515,53.9730936025
167.068965515,52.0459711225
167.068965515,53.3451103225
167.413793105,52.8454761275
167.75862069,55.252526255
167.75862069,53.608029855
167.75862069,54.382319394999996
167.75862069,53.097925345
168.103448275,54.4559078325
168.103448275,54.0703602225
168.103448275,55.0534956025
168.44827586,53.640938750000004
168.44827586,53.87347067
168.44827586,56.676663160000004
168.44827586,55.75417762
168.79310345,56.260694045
169.137931035,57.8977859625
169.137931035,56.3424321325
169.137931035,53.5506605625
169.137931035,56.3963422925
169.48275862,57.04614358
169.48275862,56.6354464
169.827586205,58.3059065675
169.827586205,57.2736920975
169.827586205,57.1239634075
170.172413795,60.395961692499995
170.172413795,57.8464317925
170.172413795,58.1116771125
170.51724138,57.86277325
170.51724138,57.95965555
170.51724138,57.7880761
170.51724138,60.05880249
170.862068965,58.431837827500004
170.862068965,59.0460242675
170.862068965,59.4652653575
171.20689655,60.248543825
171.20689655,58.658648285
171.20689655,60.859338105
171.20689655,59.620115305
171.55172414,59.09598995
171.896551725,60.3690110775
171.896551725,59.6406791175
171.896551725,60.5444825875
171.896551725,60.8379658175
172.24137931,62.227194855
172.24137931,61.694997715
172.586206895,61.4966072125
172.586206895,61.2483094825
172.931034485,61.645883957500004
173.27586207,63.093257765000004
173.27586207,61.471984745
173.27586207,63.128726785
173.620689655,62.3629025225
173.620689655,63.7783303725
173.620689655,62.7201326625
173.96551724,62.53603348
173.96551724,62.256955160000004
174.31034483,66.364888925
174.655172415,64.8194210425
174.655172415,63.522628732499996
174.655172415,64.6450011625
175.0,64.79555642
