X,Y
0.0,2.854987589
0.0,2.704643776
0.344827586,3.391146533
0.68965517,3.730424571
0.68965517,4.166325343
0.68965517,4.296013124
0.68965517,4.212319517
1.03448276,4.686065313
1.03448276,5.1306197330000005
1.03448276,4.098558489
1.379310345,5.4475512465
1.379310345,4.936881855499999
1.379310345,5.2903917714999995
1.379310345,4.9318847675
1.72413793,5.539095559
2.068965515,6.2454632755
2.068965515,6.2450930535
2.068965515,6.10461743278
2.413793105,6.6692716325
2.413793105,6.5809675504
2.413793105,6.5033014425
2.75862069,7.356254529999999
2.75862069,7.0476288911
2.75862069,6.874010242999999
2.75862069,7.710912011
3.103448275,7.2149080065
3.103448275,8.3399906395
3.103448275,7.7291983111
3.44827586,7.823821371
3.44827586,8.2057282973
3.79310345,8.338829993
3.79310345,9.011431993999999
4.137931035,9.0337305685
4.137931035,9.1812322823
4.48275862,10.075520183000002
4.48275862,10.761099970000002
4.827586205,9.357682849500002
4.827586205,10.779906285500001
4.827586205,10.9315394025
5.1724138,10.599083613
5.5172414,12.352138969999999
5.5172414,10.90931651
5.86206895,11.617078198
5.86206895,11.903214805
6.20689655,12.086761238
6.20689655,12.016695853
6.20689655,11.959495969999999
6.55172415,12.591537004000001
6.8965517,14.041416458
6.8965517,14.206830989
7.2413793,14.760015849000002
7.2413793,14.381951864000001
7.2413793,14.66649392
7.5862069,13.566256049
7.5862069,14.067914685
7.9310345,16.00936364
7.9310345,15.809450578
8.27586205,15.309780525
8.27586205,15.518623756
8.27586205,14.862342088000002
8.27586205,15.555152808
8.62068965,14.364428825
8.96551725,17.069379889
8.96551725,16.250132986
8.96551725,17.341908999
8.96551725,16.254151629
9.31034485,16.8944880998
9.31034485,17.114946237999998
9.6551724,17.884622934
9.6551724,16.766230429
9.6551724,16.51838939
10.0,18.0497870953
10.0,18.0820503328
